Distance_mm;Amplitude
-670.00;-0.000828
-666.21;-0.000792
-662.42;-0.000765
-658.63;-0.000744
-654.85;-0.000730
-651.06;-0.000720
-647.27;-0.000711
-643.48;-0.000700
-639.69;-0.000684
-635.90;-0.000660
-632.11;-0.000626
-628.32;-0.000582
-624.54;-0.000526
-620.75;-0.000461
-616.96;-0.000391
-613.17;-0.000321
-609.38;-0.000263
-605.59;-0.000233
-601.80;-0.000243
-598.02;-0.000285
-594.23;-0.000339
-590.44;-0.000392
-586.65;-0.000436
-582.86;-0.000468
-579.07;-0.000485
-575.28;-0.000485
-571.50;-0.000471
-567.71;-0.000441
-563.92;-0.000400
-560.13;-0.000348
-556.34;-0.000288
-552.55;-0.000224
-548.76;-0.000157
-544.97;-0.000090
-541.19;-0.000030
-537.40;-0.000042
-533.61;-0.000094
-529.82;-0.000142
-526.03;-0.000182
-522.24;-0.000215
-518.45;-0.000241
-514.67;-0.000260
-510.88;-0.000273
-507.09;-0.000280
-503.30;-0.000282
-499.51;-0.000281
-495.72;-0.000278
-491.93;-0.000273
-488.15;-0.000269
-484.36;-0.000266
-480.57;-0.000267
-476.78;-0.000272
-472.99;-0.000281
-469.20;-0.000296
-465.41;-0.000314
-461.62;-0.000335
-457.84;-0.000356
-454.05;-0.000375
-450.26;-0.000392
-446.47;-0.000405
-442.68;-0.000412
-438.89;-0.000414
-435.10;-0.000410
-431.32;-0.000400
-427.53;-0.000383
-423.74;-0.000362
-419.95;-0.000337
-416.16;-0.000308
-412.37;-0.000276
-408.58;-0.000244
-404.79;-0.000213
-401.01;-0.000186
-397.22;-0.000164
-393.43;-0.000152
-389.64;-0.000152
-385.85;-0.000164
-382.06;-0.000184
-378.27;-0.000208
-374.49;-0.000235
-370.70;-0.000260
-366.91;-0.000284
-363.12;-0.000305
-359.33;-0.000322
-355.54;-0.000335
-351.75;-0.000342
-347.97;-0.000346
-344.18;-0.000344
-340.39;-0.000340
-336.60;-0.000333
-332.81;-0.000325
-329.02;-0.000318
-325.23;-0.000312
-321.44;-0.000310
-317.66;-0.000310
-313.87;-0.000312
-310.08;-0.000315
-306.29;-0.000318
-302.50;-0.000319
-298.71;-0.000317
-294.92;-0.000310
-291.14;-0.000298
-287.35;-0.000282
-283.56;-0.000261
-279.77;-0.000236
-275.98;-0.000209
-272.19;-0.000179
-268.40;-0.000149
-264.62;-0.000121
-260.83;-0.000097
-257.04;-0.000081
-253.25;-0.000074
-249.46;-0.000079
-245.67;-0.000089
-241.88;-0.000101
-238.09;-0.000112
-234.31;-0.000122
-230.52;-0.000128
-226.73;-0.000132
-222.94;-0.000134
-219.15;-0.000132
-215.36;-0.000128
-211.57;-0.000122
-207.79;-0.000114
-204.00;-0.000104
-200.21;-0.000092
-196.42;-0.000080
-192.63;-0.000067
-188.84;-0.000053
-185.05;-0.000040
-181.26;-0.000029
-177.48;-0.000022
-173.69;-0.000023
-169.90;-0.000029
-166.11;-0.000038
-162.32;-0.000048
-158.53;-0.000056
-154.74;-0.000063
-150.96;-0.000068
-147.17;-0.000072
-143.38;-0.000075
-139.59;-0.000076
-135.80;-0.000077
-132.01;-0.000076
-128.22;-0.000075
-124.44;-0.000073
-120.65;-0.000071
-116.86;-0.000069
-113.07;-0.000067
-109.28;-0.000065
-105.49;-0.000063
-101.70;-0.000061
-97.91;-0.000059
-94.13;-0.000056
-90.34;-0.000052
-86.55;-0.000047
-82.76;-0.000040
-78.97;-0.000033
-75.18;-0.000024
-71.39;-0.000014
-67.61;-0.000003
-63.82;0.000009
-60.03;0.000021
-56.24;0.000032
-52.45;0.000043
-48.66;0.000053
-44.87;0.000060
-41.09;0.000066
-37.30;0.000069
-33.51;0.000070
-29.72;0.000068
-25.93;0.000064
-22.14;0.000058
-18.35;0.000051
-14.56;0.000044
-10.78;0.000038
-6.99;0.000037
-3.20;0.000040
0.59;0.000047
4.38;0.000056
8.17;0.000064
11.96;0.000072
15.74;0.000077
19.53;0.000079
23.32;0.000079
27.11;0.000075
30.90;0.000068
34.69;0.000058
38.48;0.000045
42.27;0.000032
46.05;0.000020
49.84;0.000023
53.63;0.000037
57.42;0.000054
61.21;0.000071
65.00;0.000088
68.79;0.000104
72.57;0.000120
76.36;0.000136
80.15;0.000154
83.94;0.000175
87.73;0.000200
91.52;0.000231
95.31;0.000265
99.09;0.000303
102.88;0.000343
106.67;0.000382
110.46;0.000421
114.25;0.000456
118.04;0.000487
121.83;0.000511
125.62;0.000528
129.40;0.000538
133.19;0.000539
136.98;0.000531
140.77;0.000516
144.56;0.000493
148.35;0.000463
152.14;0.000427
155.92;0.000387
159.71;0.000344
163.50;0.000298
167.29;0.000253
171.08;0.000209
174.87;0.000168
178.66;0.000133
182.44;0.000107
186.23;0.000096
190.02;0.000098
193.81;0.000111
197.60;0.000127
201.39;0.000143
205.18;0.000158
208.97;0.000170
212.75;0.000181
216.54;0.000188
220.33;0.000194
224.12;0.000198
227.91;0.000199
231.70;0.000197
235.49;0.000191
239.27;0.000181
243.06;0.000165
246.85;0.000141
250.64;0.000109
254.43;0.000067
258.22;0.000015
262.01;0.000049
265.80;0.000121
269.58;0.000204
273.37;0.000294
277.16;0.000389
280.95;0.000488
284.74;0.000586
288.53;0.000680
292.32;0.000768
296.10;0.000844
299.89;0.000907
303.68;0.000954
307.47;0.000983
311.26;0.000993
315.05;0.000983
318.84;0.000954
322.62;0.000907
326.41;0.000844
330.20;0.000769
333.99;0.000683
337.78;0.000590
341.57;0.000494
345.36;0.000398
349.15;0.000304
352.93;0.000217
356.72;0.000139
360.51;0.000073
364.30;0.000025
368.09;0.000029
371.88;0.000049
375.67;0.000056
379.45;0.000050
383.24;0.000040
387.03;0.000055
390.82;0.000098
394.61;0.000155
398.40;0.000218
402.19;0.000283
405.97;0.000343
409.76;0.000396
413.55;0.000436
417.34;0.000462
421.13;0.000471
424.92;0.000464
428.71;0.000442
432.50;0.000409
436.28;0.000373
440.07;0.000347
443.86;0.000343
447.65;0.000369
451.44;0.000423
455.23;0.000492
459.02;0.000567
462.80;0.000640
466.59;0.000705
470.38;0.000760
474.17;0.000801
477.96;0.000830
481.75;0.000845
485.54;0.000848
489.33;0.000840
493.11;0.000824
496.90;0.000801
500.69;0.000774
504.48;0.000745
508.27;0.000717
512.06;0.000694
515.85;0.000678
519.63;0.000672
523.42;0.000680
527.21;0.000702
531.00;0.000739
534.79;0.000789
538.58;0.000849
542.37;0.000916
546.15;0.000985
549.94;0.001055
553.73;0.001120
557.52;0.001179
561.31;0.001230
565.10;0.001272
568.89;0.001303
572.68;0.001323
576.46;0.001335
580.25;0.001338
584.04;0.001335
587.83;0.001327
591.62;0.001317
595.41;0.001306
599.20;0.001296
602.98;0.001288
606.77;0.001282
610.56;0.001279
614.35;0.001280
618.14;0.001283
621.93;0.001289
625.72;0.001297
629.50;0.001308
633.29;0.001324
637.08;0.001344
640.87;0.001372
644.66;0.001408
648.45;0.001455
652.24;0.001514
656.03;0.001583
659.81;0.001661
663.60;0.001745
667.39;0.001832
671.18;0.001914
674.97;0.001989
678.76;0.002049
682.55;0.002089
686.33;0.002105
690.12;0.002093
693.91;0.002049
