config,freq_hz,phase_std_deg,mag_std_db,coherence
A,1400000000,0.1795,0.0329,0.999995
A,1449000000,1.0527,0.2070,0.999831
A,1498000000,0.3199,0.0358,0.999984
A,1547000000,0.2354,0.0237,0.999992
A,1596000000,0.3341,0.0589,0.999983
A,1645000000,0.4619,0.0630,0.999967
A,1694000000,0.1303,0.0255,0.999997
A,1743000000,0.1523,0.0090,0.999996
A,1792000000,0.1067,0.0102,0.999998
A,1841000000,0.1365,0.0184,0.999997
A,1890000000,0.2042,0.0647,0.999994
A,1939000000,0.2106,0.0135,0.999993
A,1988000000,0.1840,0.0171,0.999995
A,2037000000,0.1524,0.0168,0.999996
A,2086000000,0.3083,0.0497,0.999986
A,2135000000,0.5157,0.0381,0.999960
A,2184000000,0.3853,0.0515,0.999977
A,2233000000,0.1961,0.0265,0.999994
A,2282000000,0.2537,0.0220,0.999990
A,2331000000,0.2581,0.0299,0.999990
A,2380000000,0.2087,0.0103,0.999993
A,2429000000,0.1662,0.0092,0.999996
A,2478000000,0.2243,0.0219,0.999992
A,2527000000,0.2255,0.0162,0.999992
A,2576000000,0.2314,0.0083,0.999992
A,2625000000,0.1903,0.0056,0.999994
A,2674000000,0.1967,0.0147,0.999994
A,2723000000,0.2105,0.0097,0.999993
A,2772000000,0.1372,0.0192,0.999997
A,2821000000,0.2149,0.0092,0.999993
A,2870000000,0.2067,0.0110,0.999993
A,2919000000,0.2531,0.0156,0.999990
A,2968000000,0.2542,0.0259,0.999990
A,3017000000,0.2418,0.0126,0.999991
A,3066000000,0.2442,0.0059,0.999991
A,3115000000,0.2466,0.0095,0.999991
A,3164000000,0.6714,0.0692,0.999931
A,3213000000,0.2197,0.0139,0.999993
A,3262000000,0.1496,0.0117,0.999997
A,3311000000,0.1735,0.0105,0.999995
A,3360000000,0.4037,0.0419,0.999975
A,3409000000,0.2404,0.0150,0.999991
A,3458000000,0.2049,0.0093,0.999994
A,3507000000,0.2768,0.0123,0.999988
A,3556000000,0.2836,0.0126,0.999988
A,3605000000,0.2834,0.0295,0.999988
A,3654000000,0.2920,0.0138,0.999987
A,3703000000,0.2045,0.0118,0.999994
A,3752000000,0.1888,0.0050,0.999995
A,3801000000,0.1305,0.0086,0.999997
A,3850000000,0.2634,0.0193,0.999989
A,3899000000,0.2573,0.0061,0.999990
A,3948000000,0.3308,0.0110,0.999983
A,3997000000,0.2663,0.0114,0.999989
A,4046000000,0.3154,0.0191,0.999985
A,4095000000,0.2821,0.0069,0.999988
A,4144000000,0.2090,0.0091,0.999993
A,4193000000,0.1509,0.0054,0.999997
A,4242000000,0.2273,0.0296,0.999992
A,4291000000,0.3283,0.0104,0.999984
A,4340000000,0.3201,0.0090,0.999984
A,4389000000,0.3750,0.0078,0.999979
A,4438000000,0.3473,0.0069,0.999982
A,4487000000,0.3445,0.0185,0.999982
A,4536000000,0.3378,0.0106,0.999983
A,4585000000,0.3567,0.0117,0.999981
A,4634000000,0.2873,0.0072,0.999987
A,4683000000,0.1849,0.0095,0.999995
A,4732000000,0.2900,0.0126,0.999987
A,4781000000,0.3882,0.0094,0.999977
A,4830000000,0.4822,0.0233,0.999965
A,4879000000,0.3451,0.0057,0.999982
A,4928000000,0.4359,0.0116,0.999971
A,4977000000,0.2843,0.0088,0.999988
A,5026000000,0.2280,0.0057,0.999992
A,5075000000,0.2809,0.0079,0.999988
A,5124000000,0.4007,0.0135,0.999976
A,5173000000,0.4063,0.0113,0.999975
A,5222000000,0.4303,0.0087,0.999972
A,5271000000,0.4616,0.0092,0.999968
A,5320000000,0.3172,0.0067,0.999985
A,5369000000,0.4196,0.0094,0.999973
A,5418000000,0.4934,0.0094,0.999963
A,5467000000,0.4553,0.0103,0.999968
A,5516000000,0.3360,0.0085,0.999983
A,5565000000,0.4443,0.0097,0.999970
A,5614000000,0.4540,0.0232,0.999969
A,5663000000,0.2918,0.0126,0.999987
A,5712000000,0.6035,0.0123,0.999945
A,5761000000,0.5426,0.0134,0.999955
A,5810000000,0.4553,0.0142,0.999968
A,5859000000,0.4917,0.0140,0.999963
A,5908000000,0.4098,0.0109,0.999974
A,5957000000,0.5491,0.0082,0.999954
A,6006000000,0.5047,0.0075,0.999961
A,6055000000,0.3962,0.0140,0.999976
A,6104000000,0.5643,0.0190,0.999951
A,6153000000,0.4781,0.0186,0.999965
A,6202000000,0.5515,0.0244,0.999954
A,6251000000,0.4302,0.0095,0.999972
A,6300000000,0.4957,0.0181,0.999963
B,1400000000,0.1592,0.0104,0.999996
B,1449000000,1.0227,0.2151,0.999839
B,1498000000,0.2124,0.0304,0.999993
B,1547000000,0.3373,0.0151,0.999983
B,1596000000,0.3678,0.0362,0.999979
B,1645000000,0.5047,0.0463,0.999961
B,1694000000,0.1186,0.0103,0.999998
B,1743000000,0.1043,0.0114,0.999998
B,1792000000,0.2818,0.0093,0.999988
B,1841000000,0.1083,0.0191,0.999998
B,1890000000,0.3070,0.0199,0.999986
B,1939000000,0.2118,0.0168,0.999993
B,1988000000,0.1460,0.0189,0.999997
B,2037000000,0.1777,0.0137,0.999995
B,2086000000,0.3696,0.0158,0.999979
B,2135000000,0.1768,0.0458,0.999995
B,2184000000,0.2668,0.0346,0.999989
B,2233000000,0.2018,0.0159,0.999994
B,2282000000,0.2416,0.0140,0.999991
B,2331000000,0.2751,0.0169,0.999988
B,2380000000,0.1512,0.0149,0.999997
B,2429000000,0.1223,0.0085,0.999998
B,2478000000,0.1926,0.0122,0.999994
